Zip_code;Zip_name;Municipality_name;Municipality_code;NUTS3_name;NUTS3_code
39430;Röyhiö;Ikaalinen;143;Pirkanmaa;6
39450;Sisättö;Ikaalinen;143;Pirkanmaa;6
39500;Ikaalinen Keskus;Ikaalinen;143;Pirkanmaa;6
39530;Kilvakkala;Ikaalinen;143;Pirkanmaa;6
39580;Riitiala;Ikaalinen;143;Pirkanmaa;6
39590;Tevaniemi;Ikaalinen;143;Pirkanmaa;6
39610;Kovelahti;Ikaalinen;143;Pirkanmaa;6
39620;Kovesjoki;Parkano;581;Pirkanmaa;6
39660;Lapinneva;Parkano;581;Pirkanmaa;6
39700;Parkano Keskus;Parkano;581;Pirkanmaa;6
39750;Vatajanjärvi;Parkano;581;Pirkanmaa;6
39770;Aureskoski;Parkano;581;Pirkanmaa;6
39780;Alaskylä;Parkano;581;Pirkanmaa;6
39810;Linnankylä;Kihniö;250;Pirkanmaa;6
39820;Kihniö Keskus;Kihniö;250;Pirkanmaa;6
39880;Kihniö Asemanseutu;Kihniö;250;Pirkanmaa;6
39920;Suomijärvi;Karvia;230;Satakunta;4
39930;Karvia Keskus;Karvia;230;Satakunta;4
39940;Kantti;Karvia;230;Satakunta;4
39960;Sarvela;Karvia;230;Satakunta;4
39965;Karviankylä;Karvia;230;Satakunta;4
39980;Sara;Karvia;230;Satakunta;4
39990;Alkkia;Karvia;230;Satakunta;4
40100;Jyväskylä Keskus;Jyväskylä;179;Keski-Suomi;13
40200;Mannila-Taulumäki;Jyväskylä;179;Keski-Suomi;13
40250;Ritoniemi-Lohikoski;Jyväskylä;179;Keski-Suomi;13
40270;Pappilanrinne-Pappilanvuori;Jyväskylä;179;Keski-Suomi;13
40320;Seppälän Teollisuusalue;Jyväskylä;179;Keski-Suomi;13
40340;Huhtasuo;Jyväskylä;179;Keski-Suomi;13
40400;Halssila;Jyväskylä;179;Keski-Suomi;13
40420;Jyskä;Jyväskylä;179;Keski-Suomi;13
40500;Keljo-Ristonmaa;Jyväskylä;179;Keski-Suomi;13
40520;Kuokkala-Ristikivi;Jyväskylä;179;Keski-Suomi;13
40530;Keljonkangas;Jyväskylä;179;Keski-Suomi;13
40600;Mattilanpelto;Jyväskylä;179;Keski-Suomi;13
40620;Keskussairaala-alue-Kukkumäki;Jyväskylä;179;Keski-Suomi;13
40630;Kypärämäki;Jyväskylä;179;Keski-Suomi;13
40640;Keltinmäki;Jyväskylä;179;Keski-Suomi;13
40660;Länsi-Palokka;Jyväskylä;179;Keski-Suomi;13
40700;Mäki-Matti;Jyväskylä;179;Keski-Suomi;13
40720;Nisula;Jyväskylä;179;Keski-Suomi;13
40740;Kortepohja;Jyväskylä;179;Keski-Suomi;13
40800;Vaajakoski;Jyväskylä;179;Keski-Suomi;13
40820;Vuoritsalo;Jyväskylä;179;Keski-Suomi;13
40900;Säynätsalo;Jyväskylä;179;Keski-Suomi;13
40930;Kinkomaa;Muurame;500;Keski-Suomi;13
40950;Muurame Keskus;Muurame;500;Keski-Suomi;13
41120;Puuppola;Jyväskylä;179;Keski-Suomi;13
41140;Kuikka;Jyväskylä;179;Keski-Suomi;13
41160;Tikkakoski;Jyväskylä;179;Keski-Suomi;13
41180;Vehniä;Laukaa;410;Keski-Suomi;13
41210;Jokihaara;Uurainen;892;Keski-Suomi;13
41220;Höytiä;Uurainen;892;Keski-Suomi;13
41230;Uurainen Keskus;Uurainen;892;Keski-Suomi;13
41240;Kyynämöinen;Uurainen;892;Keski-Suomi;13
41260;Hoikankylä;Saarijärvi;729;Keski-Suomi;13
41270;Lannevesi;Saarijärvi;729;Keski-Suomi;13
41290;Kangashäkki;Uurainen;892;Keski-Suomi;13
41310;Leppävesi;Laukaa;410;Keski-Suomi;13
41325;Laukkavirta;Laukaa;410;Keski-Suomi;13
41330;Vihtavuori;Laukaa;410;Keski-Suomi;13
41340;Laukaa Keskus;Laukaa;410;Keski-Suomi;13
41350;Laukaa Asemanseutu;Laukaa;410;Keski-Suomi;13
41360;Valkola;Laukaa;410;Keski-Suomi;13
41370;Kuusa;Laukaa;410;Keski-Suomi;13
41390;Äijälä;Laukaa;410;Keski-Suomi;13
41400;Lievestuore;Laukaa;410;Keski-Suomi;13
41410;Kankainen;Toivakka;850;Keski-Suomi;13
41440;Ruuhimäki;Toivakka;850;Keski-Suomi;13
41450;Leppälahti;Jyväskylä;179;Keski-Suomi;13
41490;Niemisjärvi;Hankasalmi;77;Keski-Suomi;13
41500;Hankasalmi Asemanseutu;Hankasalmi;77;Keski-Suomi;13
41520;Hankasalmi Keskus;Hankasalmi;77;Keski-Suomi;13
41530;Veneranta;Hankasalmi;77;Keski-Suomi;13
41540;Ristimäki;Hankasalmi;77;Keski-Suomi;13
